"dose","RR","Lower Band","Higher Band"
0,1,1,1
1.125,0.9606,0.9498,0.9715
1.37,0.9523,0.9393,0.9654
2.025,0.9305,0.9119,0.9495
2.25,0.9232,0.9028,0.9441
3.28,0.891,0.8627,0.9202
3.375,0.8882,0.8592,0.9181
3.47,0.8853,0.8557,0.916
3.6,0.8815,0.8509,0.9131
4.1,0.8669,0.8331,0.9022
4.5,0.8557,0.8194,0.8937
4.6875,0.8506,0.8131,0.8898
5,0.8422,0.8029,0.8835
5.625,0.8261,0.7834,0.8712
6.75,0.7995,0.7514,0.8506
6.8,0.7984,0.7501,0.8497
6.9,0.7961,0.7474,0.848
7.25,0.7885,0.7384,0.8421
7.275,0.788,0.7377,0.8417
7.875,0.7755,0.723,0.8319
8,0.773,0.72,0.83
9,0.754,0.6976,0.815
9.84,0.7394,0.6804,0.8034
10.125,0.7346,0.6749,0.7996
10.34,0.7312,0.6709,0.7969
11.25,0.7172,0.6546,0.7857
13.5,0.6873,0.62,0.762
14,0.6815,0.6132,0.7573
14.625,0.6745,0.6051,0.7519
15.3,0.6674,0.5969,0.7464
15.75,0.663,0.5916,0.7429
16.4,0.6568,0.5844,0.7382
16.875,0.6525,0.5793,0.7349
18.3,0.6406,0.5651,0.7261
18.5,0.639,0.5633,0.725
20.25,0.6264,0.5479,0.7161
22.69,0.6112,0.5287,0.7066
22.97,0.6096,0.5267,0.7056
25.7,0.5952,0.5075,0.698
27,0.5888,0.4988,0.695
28.125,0.5834,0.4914,0.6926
28.3,0.5826,0.4903,0.6922
29.53,0.5767,0.4822,0.6898
33.75,0.5572,0.455,0.6822
36.08,0.5466,0.4405,0.6784
36.09,0.5466,0.4404,0.6784
42.65,0.518,0.4012,0.6689
46.72,0.5011,0.3783,0.6636
49.21,0.491,0.3649,0.6606
64.2,0.4343,0.2929,0.6439
