"dose","RR","Lower Band","Higher Band"
0,1,1,1
0.875,0.967,0.9593,0.9748
1.3125,0.951,0.9396,0.9625
1.37,0.9489,0.9371,0.9609
1.575,0.9416,0.9281,0.9553
1.75,0.9354,0.9205,0.9505
2.25,0.918,0.8993,0.9371
2.625,0.9053,0.884,0.9272
3.28,0.884,0.8581,0.9106
3.47,0.878,0.8509,0.9059
3.5,0.877,0.8498,0.9051
3.6,0.8739,0.846,0.9027
3.9375,0.8636,0.8336,0.8946
4.1,0.8587,0.8278,0.8908
4.375,0.8506,0.8181,0.8844
4.75,0.8399,0.8053,0.876
5.25,0.8262,0.789,0.8652
5.658,0.8156,0.7763,0.8568
5.9063,0.8093,0.7689,0.8519
6.125,0.8039,0.7625,0.8476
6.5625,0.7935,0.7502,0.8393
6.8,0.7881,0.7438,0.835
6.9,0.7858,0.7411,0.8332
7,0.7836,0.7384,0.8315
7.875,0.765,0.7165,0.8167
8.75,0.748,0.6965,0.8032
9.84,0.7288,0.674,0.7881
10.34,0.7207,0.6645,0.7817
10.5,0.7182,0.6615,0.7798
11.25,0.707,0.6483,0.771
11.375,0.7052,0.6462,0.7696
11.8125,0.6991,0.639,0.7648
12.25,0.6933,0.6321,0.7603
13.125,0.6823,0.6192,0.7519
13.15,0.682,0.6188,0.7517
15.3,0.6589,0.5911,0.7343
15.75,0.6546,0.586,0.7312
16.4,0.6487,0.5788,0.727
18.3,0.6333,0.5599,0.7163
18.375,0.6327,0.5592,0.7159
18.5,0.6318,0.5581,0.7153
21,0.615,0.5368,0.7046
21.875,0.6097,0.53,0.7014
22.69,0.605,0.5238,0.6987
22.97,0.6034,0.5217,0.6978
25.7,0.5885,0.5022,0.6896
26.25,0.5856,0.4984,0.6881
27,0.5816,0.4932,0.6859
28.3,0.5748,0.4842,0.6823
29.53,0.5684,0.4759,0.679
36.08,0.5357,0.4336,0.6619
36.09,0.5356,0.4335,0.6618
42.65,0.5047,0.3945,0.6457
46.72,0.4865,0.372,0.6362
49.21,0.4756,0.3588,0.6304
64.2,0.4152,0.2886,0.5975
