"dose","RR","Lower Band","Higher Band"
0,1,1,1
0.875,0.9596,0.9485,0.9709
1.37,0.9377,0.9207,0.955
1.5,0.932,0.9136,0.9509
1.575,0.9288,0.9095,0.9485
1.75,0.9213,0.9001,0.943
2.625,0.8853,0.8552,0.9165
3.28,0.86,0.8239,0.8978
3.47,0.853,0.8152,0.8925
3.5,0.8519,0.8139,0.8917
3.6,0.8482,0.8094,0.889
3.9375,0.8362,0.7946,0.88
4.1,0.8306,0.7877,0.8757
4.375,0.8212,0.7763,0.8687
5.25,0.7934,0.7425,0.8477
5.658,0.7813,0.7279,0.8386
6.125,0.7682,0.7121,0.8286
6.8,0.7503,0.6908,0.815
6.9,0.7478,0.6877,0.8131
7,0.7453,0.6847,0.8112
7.875,0.7245,0.66,0.7953
8.75,0.7057,0.6377,0.7809
9.84,0.6846,0.6129,0.7647
10.34,0.6757,0.6024,0.7579
11.25,0.6608,0.5849,0.7465
11.375,0.6588,0.5826,0.745
12.25,0.6459,0.5675,0.7352
13.125,0.6342,0.5537,0.7264
15.3,0.6092,0.5243,0.7079
15.75,0.6047,0.519,0.7047
16.4,0.5986,0.5116,0.7002
18.3,0.5826,0.4925,0.6891
18.5,0.5811,0.4907,0.6881
21,0.5639,0.4697,0.6769
21.875,0.5585,0.4631,0.6736
22.69,0.5538,0.4572,0.6708
22.97,0.5522,0.4553,0.6698
25.7,0.5374,0.4367,0.6613
26.25,0.5345,0.4331,0.6596
27,0.5305,0.4282,0.6574
28.3,0.5238,0.4198,0.6535
29.53,0.5174,0.412,0.65
36.08,0.485,0.3724,0.6317
36.09,0.485,0.3724,0.6317
42.65,0.4546,0.3363,0.6145
46.72,0.4367,0.3156,0.6042
49.21,0.4261,0.3035,0.5981
64.2,0.3674,0.2398,0.563
